station id, station name, valid,povp. T [°C],količina padavin [mm]
_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 11:00,23.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 11:10,24,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 11:20,24.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 11:30,24.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 11:40,24.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 11:50,25.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 12:00,25.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 12:10,25.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 12:20,26.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 12:30,26.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 12:40,27.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 12:50,27.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 13:00,27.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 13:10,28.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 13:20,28.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 13:30,28.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 13:40,27.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 13:50,28.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 14:00,28.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 14:10,28,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 14:20,27.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 14:30,27.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 14:40,27.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 14:50,27,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 15:00,26.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 15:10,26.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 15:20,26.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 15:30,27.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 15:40,28,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 15:50,28.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 16:00,28.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 16:10,28.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 16:20,27.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 16:30,25.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 16:40,25.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 16:50,25.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 17:00,25.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 17:10,25.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 17:20,25.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 17:30,25.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 17:40,25,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 17:50,25,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 18:00,25,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 18:10,25,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 18:20,25.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 18:30,25,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 18:40,24.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 18:50,24.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 19:00,24.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 19:10,24.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 19:20,24.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 19:30,24,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 19:40,23.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 19:50,23.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 20:00,23.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 20:10,23.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 20:20,22.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 20:30,22.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 20:40,22.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 20:50,22.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 21:00,22.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 21:10,22.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 21:20,22,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 21:30,21.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 21:40,21.6,

